timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2025/05/29 22:29:18.396, 6 %, 861 MiB, 92.47 W, 51
2025/05/29 22:29:23.398, 7 %, 1097 MiB, 88.44 W, 50
2025/05/29 22:29:28.399, 7 %, 1117 MiB, 89.93 W, 50
2025/05/29 22:29:33.401, 6 %, 1117 MiB, 88.58 W, 50
2025/05/29 22:29:38.402, 7 %, 1137 MiB, 90.21 W, 50
2025/05/29 22:29:43.404, 6 %, 1137 MiB, 87.92 W, 51
2025/05/29 22:29:48.405, 7 %, 1137 MiB, 90.01 W, 50
2025/05/29 22:29:53.407, 6 %, 1137 MiB, 89.66 W, 50
2025/05/29 22:29:58.408, 9 %, 1137 MiB, 89.30 W, 50
2025/05/29 22:30:03.410, 7 %, 1137 MiB, 89.99 W, 50
2025/05/29 22:30:08.411, 7 %, 1137 MiB, 87.82 W, 50
2025/05/29 22:30:13.413, 7 %, 1137 MiB, 88.00 W, 50
2025/05/29 22:30:18.415, 7 %, 1137 MiB, 87.89 W, 50
2025/05/29 22:30:23.416, 7 %, 1137 MiB, 88.01 W, 50
2025/05/29 22:30:28.418, 7 %, 1137 MiB, 88.09 W, 50
2025/05/29 22:30:33.419, 7 %, 1137 MiB, 88.04 W, 50
2025/05/29 22:30:38.421, 10 %, 1137 MiB, 95.01 W, 50
2025/05/29 22:30:43.423, 11 %, 1137 MiB, 94.47 W, 50
2025/05/29 22:30:48.424, 10 %, 1137 MiB, 94.66 W, 50
2025/05/29 22:30:53.426, 11 %, 1137 MiB, 93.43 W, 50
2025/05/29 22:30:58.427, 6 %, 1137 MiB, 91.94 W, 51
2025/05/29 22:31:03.429, 6 %, 1137 MiB, 93.59 W, 51
2025/05/29 22:31:08.433, 11 %, 1137 MiB, 93.42 W, 51
2025/05/29 22:31:13.516, 1 %, 1137 MiB, 91.35 W, 51
2025/05/29 22:31:18.518, 6 %, 1137 MiB, 93.51 W, 51
2025/05/29 22:31:23.521, 11 %, 1137 MiB, 93.18 W, 51
2025/05/29 22:31:28.522, 11 %, 1137 MiB, 93.51 W, 51
2025/05/29 22:31:33.524, 6 %, 1137 MiB, 93.70 W, 52
2025/05/29 22:31:38.526, 6 %, 1137 MiB, 93.27 W, 51
2025/05/29 22:31:43.527, 11 %, 1137 MiB, 93.42 W, 51
2025/05/29 22:31:48.533, 11 %, 1137 MiB, 93.90 W, 51
2025/05/29 22:31:53.534, 11 %, 1137 MiB, 93.61 W, 51
2025/05/29 22:31:58.535, 11 %, 1137 MiB, 93.81 W, 51
2025/05/29 22:32:03.537, 11 %, 1137 MiB, 93.52 W, 51
2025/05/29 22:32:08.538, 6 %, 1137 MiB, 91.88 W, 51
2025/05/29 22:32:13.540, 11 %, 1137 MiB, 93.63 W, 51
2025/05/29 22:32:18.541, 11 %, 1137 MiB, 93.48 W, 51
2025/05/29 22:32:23.543, 11 %, 1137 MiB, 93.65 W, 51
2025/05/29 22:32:28.544, 11 %, 1137 MiB, 93.40 W, 51
2025/05/29 22:32:33.546, 11 %, 1137 MiB, 93.21 W, 51
2025/05/29 22:32:38.548, 10 %, 1137 MiB, 94.78 W, 51
2025/05/29 22:32:43.549, 11 %, 1137 MiB, 93.62 W, 51
2025/05/29 22:32:48.551, 11 %, 1137 MiB, 93.97 W, 51
2025/05/29 22:32:53.552, 12 %, 1137 MiB, 99.23 W, 52
2025/05/29 22:32:58.554, 12 %, 1137 MiB, 99.38 W, 52
2025/05/29 22:33:03.555, 11 %, 1137 MiB, 98.95 W, 51
